patient_id,first_name,last_name,date_of_birth,gender,ssn,address,city,state,zip_code,phone,email,insurance_provider,insurance_id
31,,,2028-05-27,F,259-93-9875,"92546 Brooke Corner Suite 865, Lake Jacqueline, WA 90339",Lake Ellenhaven,MN,02890,(342)235-7332x214,nancy92@example.net,Aetna,UCc622292
32,Robert,Montes,1967-07-10,F,626-37-7356,"7359 Murray Haven, Shawchester, GA 26675",Port John,SD,63492,(881)381-4124x782,lisawilkerson@example.org,,yfx606853
33,Jeffrey,Galvan,1978-07-26,F,860-92-5494,"47277 Rebecca Brook, Jasonberg, OH 95821",Rodriguezport,IA,39973,203-569-7117,kellysmith@example.com,UnitedHealth,xeH396218
34,Amy,Spencer,2004-04-13,M,400-61-0714,"0515 Jessica Road Apt. 952, West Amyburgh, MP 90243",Pollardfort,SC,24392,(717)604-3030,ihays@example.com,Humana,Pvr403450
35,David,Kim,1985-04-13,M,410-96-7205,"PSC 6527, Box 7584, APO AE 95801",Millerburgh,ND,39005,711-854-4796x27570,danielle01@example.net,Blue Cross,
36,Dana,Palmer,1984-08-22,M,768-87-2622,"USNS Allison, FPO AP 57933",East Carlosstad,MN,50682,001-409-727-5571,redwards@example.org,,Jhq102786
37,Kimberly,Lewis,1995-12-07,M,627-37-8048,"72715 Mckinney Plaza, Patriciaburgh, VT 93504",Port Michael,IN,16408,923.470.5895,jonesraymond@example.net,Cigna,iuP786691
38,Charles,Frazier,1998-08-05,F,353-17-9033,"68018 Kevin Estates, Sarahbury, MI 68513",Meghanview,ID,83739,+1-442-449-8182,megan90@example.org,Humana,ANO109439
39,Anthony,Gardner,2020-07-20,M,658-39-7913,"7102 Perry Mountain Apt. 592, Michellemouth, VA 45769",Andersonstad,NY,74117,353-271-4732,sonia96@example.org,,FGD259532
40,Victor,Jimenez,1977-03-09,F,093-51-8282,"95004 Harper Ville, Mitchelltown, PR 14590",Andersonview,VA,48444,001-965-606-0983x58416,andersoncolin@example.com,,GzG585239
41,,,1940-09-03,,047-05-2246,"729 Mark Ridge Suite 269, Brittneyhaven, MP 67310",Ericksonport,NJ,02681,(551)269-4097x499,ojackson@example.net,UnitedHealth,Shm962309
42,Andrew,Barnes,1977-11-20,F,423-89-3341,"028 Ann Shore Suite 865, South Rhonda, MA 72102",Ericaview,RI,63963,934.784.3443,ybailey@example.net,Blue Cross,zwX441986
43,Linda,Williams,1974-09-22,F,732-11-5675,"PSC 4733, Box 8484, APO AE 14817",East Brent,MH,70105,230.416.5712,edelgado@example.com,Humana,PKo345401
44,Amanda,Gentry,1940-04-09,M,180-54-2881,"USS Osborn, FPO AA 65431",Lake Suzanne,LA,05411,9494915478,znelson@example.org,,VvY527420
45,Kenneth,Thompson,1961-06-26,M,877-82-6644,"61227 Boyle Avenue Suite 637, Stephanieport, OR 95250",West Desireebury,AR,88029,774-526-8414,susanmendoza@example.com,Aetna,ZQn956878
46,Kathleen,Fischer,2030-02-01,M,895-11-8610,"91088 Ashley Drive Apt. 587, Lake Jamieshire, NM 12420",Stokesmouth,DC,67773,(279)808-7406x40391,isabella80@example.org,Humana,XPU704622
47,Debbie,Brooks,1992-05-28,M,392-58-6185,"512 Rice Stream, Port Adam, AK 39608",Nunezside,NE,70222,(533)575-2431x0690,garciaarthur@example.net,Humana,InW030673
48,Michelle,Taylor,1942-11-16,M,297-30-9439,"42836 Hill Point Apt. 687, West Shellyfurt, WY 69243",Heatherchester,FL,39807,(428)873-3427x0866,jonathanrivera@example.org,Blue Cross,ryR751830
49,Cassidy,Russo,1940-07-29,F,193-98-9627,"3540 Sharon Streets, Lake Yvonnefort, PW 32298",South Rose,OH,42655,001-746-578-5445x87717,lawrence09@example.org,Aetna,
50,Joyce,Green,1937-05-27,M,599-75-6842,"3693 Pierce Spur, Jonathanfort, VA 84609",Murraystad,GA,18845,001-587-328-0801x0062,albertwagner@example.com,Blue Cross,aIJ099770
